nama_wilayah,nama_tahun,jenis_kelamin,persentasi
Kota Padang Panjang,2018,laki_laki,60.14
Kota Bukittinggi,2018,laki_laki,63.55
Kota Payakumbuh,2018,laki_laki,51.42
Kota Pariaman,2018,laki_laki,57.55
RIAU,2018,laki_laki,43.4
Kuantan Singingi,2018,laki_laki,35.3
Indragiri Hulu,2018,laki_laki,35.24
Indragiri Hilir,2018,laki_laki,25.61
Pelalawan,2018,laki_laki,38.38
Siak,2018,laki_laki,51.35
Kampar,2018,laki_laki,40.48
Rokan Hulu,2018,laki_laki,36.15
Bengkalis,2018,laki_laki,49.67
Rokan Hilir,2018,laki_laki,35
Kepulauan Meranti,2018,laki_laki,30.69
Kota Pekanbaru,2018,laki_laki,66.43
Kota Dumai,2018,laki_laki,55.8
JAMBI,2018,laki_laki,37.97
Kerinci,2018,laki_laki,38.59
Merangin,2018,laki_laki,32.45
Sarolangun,2018,laki_laki,30.78
Batang Hari,2018,laki_laki,34.99
Muaro Jambi,2018,laki_laki,32.7
Tanjung Jabung Timur,2018,laki_laki,20.84
Tanjung Jabung Barat,2018,laki_laki,30.58
Tebo,2018,laki_laki,25.82
Bungo,2018,laki_laki,36.94
Kota Jambi,2018,laki_laki,64.71
Kota Sungai Penuh,2018,laki_laki,59.29
SUMATERA SELATAN,2018,laki_laki,33.99
Ogan Komering Ulu,2018,laki_laki,38.23
Ogan Komering Ilir,2018,laki_laki,21.25
Muara Enim,2018,laki_laki,33.52
Lahat,2018,laki_laki,36.65
Musi Rawas,2018,laki_laki,25.11
Musi Banyuasin,2018,laki_laki,25.79
Banyu Asin,2018,laki_laki,24.26
Ogan Komering Ulu Selatan,2018,laki_laki,23.61
Ogan Komering Ulu Timur,2018,laki_laki,24.59
Ogan Ilir,2018,laki_laki,28.65
Empat Lawang,2018,laki_laki,22.24
Penukal Abab Lematang Ilir,2018,laki_laki,27.85
Musi Rawas Utara,2018,laki_laki,22.52
Kota Palembang,2018,laki_laki,56.13
Kota Prabumulih,2018,laki_laki,54.33
Kota Pagar Alam,2018,laki_laki,40.61
Kota Lubuklinggau,2018,laki_laki,49.57
BENGKULU,2018,laki_laki,39.34
Bengkulu Selatan,2018,laki_laki,44.69
Rejang Lebong,2018,laki_laki,32.97
Bengkulu Utara,2018,laki_laki,28
Kaur,2018,laki_laki,39.19
Seluma,2018,laki_laki,33.51
Mukomuko,2018,laki_laki,30.38
Lebong,2018,laki_laki,35.33
Kepahiang,2018,laki_laki,35.29
Bengkulu Tengah,2018,laki_laki,28.33
Kota Bengkulu,2018,laki_laki,65.1
LAMPUNG,2018,laki_laki,30.71
Lampung Barat,2018,laki_laki,26.1
Tanggamus,2018,laki_laki,23.13
Lampung Selatan,2018,laki_laki,27.92
Lampung Timur,2018,laki_laki,26.28
Lampung Tengah,2018,laki_laki,28.66
Lampung Utara,2018,laki_laki,30.07
Way Kanan,2018,laki_laki,20.15
Tulangbawang,2018,laki_laki,24.98
Pesawaran,2018,laki_laki,28.27
Pringsewu,2018,laki_laki,28.9
Mesuji,2018,laki_laki,15.61
Tulang Bawang Barat,2018,laki_laki,18.07
Pesisir Barat,2018,laki_laki,28.01
Kota Bandar Lampung,2018,laki_laki,58.82
Kota Metro,2018,laki_laki,62.28
KEP. BANGKA BELITUNG,2018,laki_laki,34.41
Bangka,2018,laki_laki,34.22
Belitung,2018,laki_laki,35.37
Bangka Barat,2018,laki_laki,30.4
Bangka Tengah,2018,laki_laki,24.69
Bangka Selatan,2018,laki_laki,24.24
Belitung Timur,2018,laki_laki,34.03
Kota Pangkal Pinang,2018,laki_laki,56.22
KEPULAUAN RIAU,2018,laki_laki,57.96
Karimun,2018,laki_laki,33.78
Bintan,2018,laki_laki,35.62
Natuna,2018,laki_laki,48.27
Lingga,2018,laki_laki,25.12
Kepulauan Anambas,2018,laki_laki,26.76
Kota Batam,2018,laki_laki,69.1
Kota Tanjung Pinang,2018,laki_laki,58.54
DKI JAKARTA,2018,laki_laki,67.71
Kep. Seribu,2018,laki_laki,38.9
Kota Jakarta Selatan,2018,laki_laki,72.98
Kota Jakarta Timur,2018,laki_laki,71.79
Kota Jakarta Pusat,2018,laki_laki,68.97
Kota Jakarta Barat,2018,laki_laki,61.36
Kota Jakarta Utara,2018,laki_laki,62.95
JAWA BARAT,2018,laki_laki,36.55
Bogor,2018,laki_laki,34.8
Sukabumi,2018,laki_laki,20.35
Cianjur,2018,laki_laki,19.1
Bandung,2018,laki_laki,38.21
Garut,2018,laki_laki,26.23
Tasikmalaya,2018,laki_laki,14.15
Ciamis,2018,laki_laki,22.46
Kuningan,2018,laki_laki,24.47
Cirebon,2018,laki_laki,25.11
Majalengka,2018,laki_laki,19.45
Sumedang,2018,laki_laki,30.6
Indramayu,2018,laki_laki,18.11
Subang,2018,laki_laki,22.81
Purwakarta,2018,laki_laki,31.71
Karawang,2018,laki_laki,34.36
Bekasi,2018,laki_laki,48.6
Bandung Barat,2018,laki_laki,31
Pangandaran,2018,laki_laki,23.4
Kota Bogor,2018,laki_laki,52.97
Kota Sukabumi,2018,laki_laki,49.28
Kota Bandung,2018,laki_laki,59.77
Kota Cirebon,2018,laki_laki,52.94
Kota Bekasi,2018,laki_laki,70.44
Kota Depok,2018,laki_laki,65.93
Kota Cimahi,2018,laki_laki,59.27
Kota Tasikmalaya,2018,laki_laki,40.31
Kota Banjar,2018,laki_laki,32.88
JAWA TENGAH,2018,laki_laki,29.35
Cilacap,2018,laki_laki,23.11
Banyumas,2018,laki_laki,25.74
Purbalingga,2018,laki_laki,22.42
Banjarnegara,2018,laki_laki,14.98
Kebumen,2018,laki_laki,26.89
Purworejo,2018,laki_laki,32.79
Wonosobo,2018,laki_laki,17.51
Magelang,2018,laki_laki,30.12
Boyolali,2018,laki_laki,35
Klaten,2018,laki_laki,44.46
Sukoharjo,2018,laki_laki,45.14
Wonogiri,2018,laki_laki,23.85
Karanganyar,2018,laki_laki,40.13
Sragen,2018,laki_laki,30.79
Grobogan,2018,laki_laki,16.05
Blora,2018,laki_laki,21.58
Rembang,2018,laki_laki,21.45
Pati,2018,laki_laki,27.26
Kudus,2018,laki_laki,41.73
Jepara,2018,laki_laki,24.34
Demak,2018,laki_laki,26.11
Semarang,2018,laki_laki,31.89
Temanggung,2018,laki_laki,20.21
Kendal,2018,laki_laki,30.09
Batang,2018,laki_laki,21.92
Pekalongan,2018,laki_laki,17.98
Pemalang,2018,laki_laki,18.78
Tegal,2018,laki_laki,26.55
Brebes,2018,laki_laki,17.09
Kota Magelang,2018,laki_laki,56.57
Kota Surakarta,2018,laki_laki,63.28
Kota Salatiga,2018,laki_laki,60.67
Kota Semarang,2018,laki_laki,63.49
Kota Pekalongan,2018,laki_laki,33.58
Kota Tegal,2018,laki_laki,37.98
D I YOGYAKARTA,2018,laki_laki,53.01
Kulon Progo,2018,laki_laki,42.76
Bantul,2018,laki_laki,53.44
Gunung Kidul,2018,laki_laki,28.68
Sleman,2018,laki_laki,65.82
Kota Yogyakarta,2018,laki_laki,72.17
JAWA TIMUR,2018,laki_laki,32.11
Pacitan,2018,laki_laki,22.2
Ponorogo,2018,laki_laki,25.8
Trenggalek,2018,laki_laki,21.85
Tulungagung,2018,laki_laki,27.78
Blitar,2018,laki_laki,24.3
Kediri,2018,laki_laki,31.18
Malang,2018,laki_laki,24.46
Lumajang,2018,laki_laki,17.43
Jember,2018,laki_laki,21.48
Banyuwangi,2018,laki_laki,25.14
Bondowoso,2018,laki_laki,20.82
Situbondo,2018,laki_laki,25.89
Probolinggo,2018,laki_laki,21.62
Pasuruan,2018,laki_laki,26.56
Sidoarjo,2018,laki_laki,57.07
Mojokerto,2018,laki_laki,39.52
Jombang,2018,laki_laki,39.03
Nganjuk,2018,laki_laki,30.97
Madiun,2018,laki_laki,34.53
Magetan,2018,laki_laki,33.57
Ngawi,2018,laki_laki,28.54
Bojonegoro,2018,laki_laki,25.27
Tuban,2018,laki_laki,22.94
Lamongan,2018,laki_laki,35.05
Gresik,2018,laki_laki,47.47
Bangkalan,2018,laki_laki,19.79
Sampang,2018,laki_laki,16.62
Pamekasan,2018,laki_laki,31.65
Sumenep,2018,laki_laki,23.92
Kota Kediri,2018,laki_laki,54.61
Kota Blitar,2018,laki_laki,53.14
Kota Malang,2018,laki_laki,52.76
Kota Probolinggo,2018,laki_laki,49.31
Kota Pasuruan,2018,laki_laki,49.29
Kota Mojokerto,2018,laki_laki,62.59
Kota Madiun,2018,laki_laki,65.67
Kota Surabaya,2018,laki_laki,51.64
Kota Batu,2018,laki_laki,43.23
BANTEN,2018,laki_laki,43.89
Pandeglang,2018,laki_laki,20.01
Lebak,2018,laki_laki,16.55
Tangerang,2018,laki_laki,41.46
Serang,2018,laki_laki,27
Kota Tangerang,2018,laki_laki,65.39
Kota Cilegon,2018,laki_laki,58.93
Kota Serang,2018,laki_laki,35.5
Kota Tangerang Selatan,2018,laki_laki,67.98
BALI,2018,laki_laki,51.07
Jembrana,2018,laki_laki,43.35
Tabanan,2018,laki_laki,48.97
Badung,2018,laki_laki,67.13
Gianyar,2018,laki_laki,55.46
Klungkung,2018,laki_laki,51.35
Bangli,2018,laki_laki,35.46
Karangasem,2018,laki_laki,27.02
Buleleng,2018,laki_laki,33.78
Kota Denpasar,2018,laki_laki,66.94
NUSA TENGGARA BARAT,2018,laki_laki,35.61
Lombok Barat,2018,laki_laki,30.32
Lombok Tengah,2018,laki_laki,27.42
Lombok Timur,2018,laki_laki,29.17
Sumbawa,2018,laki_laki,35.51
Dompu,2018,laki_laki,46.42
Bima,2018,laki_laki,39.32
Sumbawa Barat,2018,laki_laki,43.8
Lombok Utara,2018,laki_laki,27.42
Kota Mataram,2018,laki_laki,56.7
Kota Bima,2018,laki_laki,64.35
NUSA TENGGARA TIMUR,2018,laki_laki,30.63
Sumba Barat,2018,laki_laki,29.5
Sumba Timur,2018,laki_laki,26.41
Kupang,2018,laki_laki,29.11
Timor Tengah Selatan,2018,laki_laki,24.16
Timor Tengah Utara,2018,laki_laki,27.93
Belu,2018,laki_laki,28.48
Alor,2018,laki_laki,31.91
Lembata,2018,laki_laki,38.85
Flores Timur,2018,laki_laki,30.16
Sikka,2018,laki_laki,24.69
Ende,2018,laki_laki,34
Ngada,2018,laki_laki,30.47
Manggarai,2018,laki_laki,27.41
Rote Ndao,2018,laki_laki,30.9
Manggarai Barat,2018,laki_laki,25.31
Sumba Tengah,2018,laki_laki,25.13
Sumba Barat Daya,2018,laki_laki,19.5
Nagekeo,2018,laki_laki,27.39
Manggarai Timur,2018,laki_laki,22.59
Sabu Raijua,2018,laki_laki,16.48
Malaka,2018,laki_laki,31.4
Kota Kupang,2018,laki_laki,63.9
KALIMANTAN BARAT,2018,laki_laki,30.75
Sambas,2018,laki_laki,21.85
Bengkayang,2018,laki_laki,24.77
Landak,2018,laki_laki,25.04
Mempawah,2018,laki_laki,26.69
Sanggau,2018,laki_laki,27.9
Ketapang,2018,laki_laki,26.01
Sintang,2018,laki_laki,25.5
Kapuas Hulu,2018,laki_laki,36.47
Sekadau,2018,laki_laki,22.79
Melawi,2018,laki_laki,26.11
Kayong Utara,2018,laki_laki,21.73
Kubu Raya,2018,laki_laki,28.85
Kota Pontianak,2018,laki_laki,57.32
Kota Singkawang,2018,laki_laki,37.16
KALIMANTAN TENGAH,2018,laki_laki,35.99
Kotawaringin Barat,2018,laki_laki,39.02
Kotawaringin Timur,2018,laki_laki,29.93
Kapuas,2018,laki_laki,25.98
Barito Selatan,2018,laki_laki,38.97
Barito Utara,2018,laki_laki,34.22
Sukamara,2018,laki_laki,31.22
Lamandau,2018,laki_laki,29.09
Seruyan,2018,laki_laki,31.13
Katingan,2018,laki_laki,36.29
Pulang Pisau,2018,laki_laki,28.28
Gunung Mas,2018,laki_laki,36.91
Barito Timur,2018,laki_laki,43.26
Murung Raya,2018,laki_laki,28.62
Kota Palangka Raya,2018,laki_laki,64.69
KALIMANTAN SELATAN,2018,laki_laki,36.27
Tanah Laut,2018,laki_laki,24.99
Kotabaru,2018,laki_laki,30.17
Banjar,2018,laki_laki,29.1
Barito Kuala,2018,laki_laki,28.52
Tapin,2018,laki_laki,29.9
Hulu Sungai Selatan,2018,laki_laki,28.57
Hulu Sungai Tengah,2018,laki_laki,32.65
Hulu Sungai Utara,2018,laki_laki,30.19
Tabalong,2018,laki_laki,39.08
Tanah Bumbu,2018,laki_laki,34.6
Balangan,2018,laki_laki,30.44
Kota Banjarmasin,2018,laki_laki,52.36
Kota Banjar Baru,2018,laki_laki,65.11
KALIMANTAN TIMUR,2018,laki_laki,52.32
Paser,2018,laki_laki,39.94
Kutai Barat,2018,laki_laki,38.4
Kutai Kartanegara,2018,laki_laki,44.18
Kutai Timur,2018,laki_laki,45.86
Berau,2018,laki_laki,46.67
Penajam Paser Utara,2018,laki_laki,39.88
Mahakam Ulu,2018,laki_laki,30.69
Kota Balikpapan,2018,laki_laki,65.91
Kota Samarinda,2018,laki_laki,59.77
Kota Bontang,2018,laki_laki,68.66
KALIMANTAN UTARA,2018,laki_laki,45.39
Malinau,2018,laki_laki,52.6
Bulungan,2018,laki_laki,42.61
Tana Tidung,2018,laki_laki,46.93
Nunukan,2018,laki_laki,33.3
Kota Tarakan,2018,laki_laki,53.86
SULAWESI UTARA,2018,laki_laki,43.98
Bolaang Mongondow,2018,laki_laki,24.36
Minahasa,2018,laki_laki,46.41
Kepulauan Sangihe,2018,laki_laki,31.44
Kepulauan Talaud,2018,laki_laki,37.65
Minahasa Selatan,2018,laki_laki,35.58
Minahasa Utara,2018,laki_laki,52.82
Bolaang Mongondow Utara,2018,laki_laki,27.24
Siau Tagulandang Biaro,2018,laki_laki,33.07
Minahasa Tenggara,2018,laki_laki,37.35
Bolaang Mongondow Selatan,2018,laki_laki,22.9
Bolaang Mongondow Timur,2018,laki_laki,28.75
Kota Manado,2018,laki_laki,65.56
Kota Bitung,2018,laki_laki,49.45
Kota Tomohon,2018,laki_laki,50.97
Kota Kotamobagu,2018,laki_laki,49.53
SULAWESI TENGAH,2018,laki_laki,37.82
Banggai Kepulauan,2018,laki_laki,30.69
Banggai,2018,laki_laki,33.71
Morowali,2018,laki_laki,45.71
Poso,2018,laki_laki,44.33
Donggala,2018,laki_laki,29.18
Toli-Toli,2018,laki_laki,37.16
Buol,2018,laki_laki,38.07
Parigi Moutong,2018,laki_laki,23.15
Tojo Una-Una,2018,laki_laki,31.86
Sigi,2018,laki_laki,37.34
Banggai Laut,2018,laki_laki,38.05
Morowali Utara,2018,laki_laki,34.96
Kota Palu,2018,laki_laki,67.8
SULAWESI SELATAN,2018,laki_laki,38.4
Kepulauan Selayar,2018,laki_laki,31.98
Bulukumba,2018,laki_laki,31.31
Bantaeng,2018,laki_laki,28.64
Jeneponto,2018,laki_laki,26.15
Takalar,2018,laki_laki,29.32
Gowa,2018,laki_laki,35.41
Sinjai,2018,laki_laki,26.31
Maros,2018,laki_laki,40.38
Pangkajene dan Kepulauan,2018,laki_laki,33.71
Barru,2018,laki_laki,29.37
Bone,2018,laki_laki,29.08
Soppeng,2018,laki_laki,32.26
Wajo,2018,laki_laki,22.15
Sidenreng Rappang,2018,laki_laki,32.1
Pinrang,2018,laki_laki,35.71
Enrekang,2018,laki_laki,44.91
Luwu,2018,laki_laki,35.46
Tana Toraja,2018,laki_laki,37.8
Luwu Utara,2018,laki_laki,28.43
Luwu Timur,2018,laki_laki,42.21
Toraja Utara,2018,laki_laki,37.66
Kota Makasar,2018,laki_laki,61.48
Kota Parepare,2018,laki_laki,59.39
Kota Palopo,2018,laki_laki,58.46
SULAWESI TENGGARA,2018,laki_laki,45.08
Buton,2018,laki_laki,43.38
Muna,2018,laki_laki,51.93
Konawe,2018,laki_laki,44.63
Kolaka,2018,laki_laki,43.11
Konawe Selatan,2018,laki_laki,32.78
Bombana,2018,laki_laki,30.43
Wakatobi,2018,laki_laki,35.85
Kolaka Utara,2018,laki_laki,30.13
Buton Utara,2018,laki_laki,45.71
Konawe Utara,2018,laki_laki,41.29
Kolaka Timur,2018,laki_laki,43.86
Konawe Kepulauan,2018,laki_laki,46.57
Muna Barat,2018,laki_laki,29.25
Buton Tengah,2018,laki_laki,45.8
Buton Selatan,2018,laki_laki,31.79
Kota Kendari,2018,laki_laki,69.57
Kota Baubau,2018,laki_laki,64.2
GORONTALO,2018,laki_laki,27.37
Boalemo,2018,laki_laki,16.62
Gorontalo,2018,laki_laki,20.27
Pohuwato,2018,laki_laki,21.53
Bone Bolango,2018,laki_laki,31.06
Gorontalo Utara,2018,laki_laki,19.8
Kota Gorontalo,2018,laki_laki,54.33
SULAWESI BARAT,2018,laki_laki,32.58
Majene,2018,laki_laki,39.57
Polewali Mandar,2018,laki_laki,29.54
Mamasa,2018,laki_laki,35.04
Mamuju,2018,laki_laki,35.52
Mamuju Utara / Pasangkayu,2018,laki_laki,34.27
Mamuju Tengah,2018,laki_laki,23.08
MALUKU,2018,laki_laki,50.54
Maluku Tenggara Barat / Kepulauan Tanimbar,2018,laki_laki,44.24
Maluku Tenggara,2018,laki_laki,51.91
Maluku Tengah,2018,laki_laki,45.36
Buru,2018,laki_laki,40.48
Kepulauan Aru,2018,laki_laki,37.78
Seram Bagian Barat,2018,laki_laki,43.92
Seram Bagian Timur,2018,laki_laki,35.35
Maluku Barat Daya,2018,laki_laki,28.9
Buru Selatan,2018,laki_laki,32.3
Kota Ambon,2018,laki_laki,70.7
Kota Tual,2018,laki_laki,61.74
MALUKU UTARA,2018,laki_laki,43.06
Halmahera Barat,2018,laki_laki,31.25
Halmahera Tengah,2018,laki_laki,42.57
Kepulauan Sula,2018,laki_laki,42.3
Halmahera Selatan,2018,laki_laki,31.4
Halmahera Utara,2018,laki_laki,38.79
Halmahera Timur,2018,laki_laki,40.2
Pulau Morotai,2018,laki_laki,29.76
Pulau Taliabu,2018,laki_laki,24.95
Kota Ternate,2018,laki_laki,69.02
Kota Tidore Kepulauan,2018,laki_laki,50.67
PAPUA BARAT,2018,laki_laki,54.68
Fakfak,2018,laki_laki,53.32
Kaimana,2018,laki_laki,56.31
Teluk Wondama,2018,laki_laki,48.09
Teluk Bintuni,2018,laki_laki,52.59
Manokwari,2018,laki_laki,58.54
Sorong Selatan,2018,laki_laki,41.81
Sorong,2018,laki_laki,38.53
Raja Ampat,2018,laki_laki,46.64
Tambrauw,2018,laki_laki,56.27
Maybrat,2018,laki_laki,54.27
Manokwari Selatan,2018,laki_laki,53.3
Pegunungan Arfak,2018,laki_laki,45.81
Kota Sorong,2018,laki_laki,64.05
PAPUA,2018,laki_laki,36.66
Merauke,2018,laki_laki,40.07
Jayawijaya,2018,laki_laki,31.16
Jayapura,2018,laki_laki,59.47
Nabire,2018,laki_laki,51.31
Kepulauan Yapen,2018,laki_laki,55.55
Biak Numfor,2018,laki_laki,55.82
Paniai,2018,laki_laki,24.69
Puncak Jaya,2018,laki_laki,12.42
Mimika,2018,laki_laki,62.01
Boven Digoel,2018,laki_laki,49.84
Mappi,2018,laki_laki,21.97
Asmat,2018,laki_laki,14.64
Yahukimo,2018,laki_laki,13.45
Pegunungan Bintang,2018,laki_laki,35.7
Tolikara,2018,laki_laki,22.75
Sarmi,2018,laki_laki,41.09
Keerom,2018,laki_laki,46.76
Waropen,2018,laki_laki,53.25
Supiori,2018,laki_laki,47.94
Mamberamo Raya,2018,laki_laki,26.05
Nduga,2018,laki_laki,9.04
Lanny Jaya,2018,laki_laki,22.86
Mamberamo Tengah,2018,laki_laki,24.92
Yalimo,2018,laki_laki,20.92
Puncak,2018,laki_laki,8.31
Dogiyai,2018,laki_laki,11.13
Intan Jaya,2018,laki_laki,13.74
Deiyai,2018,laki_laki,16.36
Kota Jayapura,2018,laki_laki,71.53
INDONESIA,2018,laki_laki,38.27
ACEH,2018,perempuan,37.31
Simeulue,2018,perempuan,36.5
Aceh Singkil,2018,perempuan,32.93
Aceh Selatan,2018,perempuan,31.29
Aceh Tenggara,2018,perempuan,38.39
Aceh Timur,2018,perempuan,21.31
Aceh Tengah,2018,perempuan,42.41
Aceh Barat,2018,perempuan,39.82
Aceh Besar,2018,perempuan,46.11
Pidie,2018,perempuan,34.51
Bireuen,2018,perempuan,35.81
Aceh Utara,2018,perempuan,23.92
Aceh Barat Daya,2018,perempuan,32.14
Gayo Lues,2018,perempuan,28.92
Aceh Tamiang,2018,perempuan,35.66
Nagan Raya,2018,perempuan,30.23
Aceh Jaya,2018,perempuan,29.83
Bener Meriah,2018,perempuan,38.14
Pidie Jaya,2018,perempuan,35.24
Kota Banda Aceh,2018,perempuan,71.8
Kota Sabang,2018,perempuan,65.42
Kota Langsa,2018,perempuan,61.99
Kota Lhokseumawe,2018,perempuan,58.06
Kota Subulussalam,2018,perempuan,29.18
SUMATERA UTARA,2018,perempuan,43.23
Nias,2018,perempuan,10.18
Mandailing Natal,2018,perempuan,25.21
Tapanuli Selatan,2018,perempuan,32.39
Tapanuli Tengah,2018,perempuan,30.34
Tapanuli Utara,2018,perempuan,48.49
Toba Samosir / Toba,2018,perempuan,56.19
Labuhan Batu,2018,perempuan,38.79
Asahan,2018,perempuan,33.3
Simalungun,2018,perempuan,42.65
Dairi,2018,perempuan,42.02
Karo,2018,perempuan,47.63
Deli Serdang,2018,perempuan,46.94
Langkat,2018,perempuan,30.82
Nias Selatan,2018,perempuan,17.85
Humbang Hasundutan,2018,perempuan,40.53
Pakpak Bharat,2018,perempuan,32.69
Samosir,2018,perempuan,47.09
Serdang Bedagai,2018,perempuan,32.1
Batu Bara,2018,perempuan,28.98
Padang Lawas Utara,2018,perempuan,36.15
Padang Lawas,2018,perempuan,32.82
Labuhan Batu Selatan,2018,perempuan,34.01
Labuhan Batu Utara,2018,perempuan,28
Nias Utara,2018,perempuan,14.41
Nias Barat,2018,perempuan,16.63
Kota Sibolga,2018,perempuan,50.79
Kota Tanjung Balai,2018,perempuan,45.41
Kota Pematang Siantar,2018,perempuan,62.82
Kota Tebing Tinggi,2018,perempuan,52.97
Kota Medan,2018,perempuan,64.97
Kota Binjai,2018,perempuan,56.53
Kota Padangsidimpuan,2018,perempuan,57.54
Kota Gunungsitoli,2018,perempuan,36.67
SUMATERA BARAT,2018,perempuan,40.32
Kepulauan Mentawai,2018,perempuan,31.93
Pesisir Selatan,2018,perempuan,33.64
Solok,2018,perempuan,30.8
Sijunjung,2018,perempuan,28.39
Tanah Datar,2018,perempuan,38.32
Padang Pariaman,2018,perempuan,29.03
Agam,2018,perempuan,40.96
Lima Puluh Kota,2018,perempuan,29.3
Pasaman,2018,perempuan,23.91
Solok Selatan,2018,perempuan,36.8
Dharmasraya,2018,perempuan,32.81
Pasaman Barat,2018,perempuan,28.81
Kota Padang,2018,perempuan,63.65
Kota Solok,2018,perempuan,64.87
Kota Sawah Lunto,2018,perempuan,47.53
Kota Padang Panjang,2018,perempuan,65.2
Kota Bukittinggi,2018,perempuan,64.72
Kota Payakumbuh,2018,perempuan,55.5
Kota Pariaman,2018,perempuan,54.58
RIAU,2018,perempuan,38.97
Kuantan Singingi,2018,perempuan,32.26
Indragiri Hulu,2018,perempuan,33.18
Indragiri Hilir,2018,perempuan,20.18
Pelalawan,2018,perempuan,32.45
Siak,2018,perempuan,47.67
Kampar,2018,perempuan,35.19
Rokan Hulu,2018,perempuan,29.04
Bengkalis,2018,perempuan,43.1
Rokan Hilir,2018,perempuan,30.93
Kepulauan Meranti,2018,perempuan,26.45
Kota Pekanbaru,2018,perempuan,64.96
Kota Dumai,2018,perempuan,48.92
JAMBI,2018,perempuan,31.08
Kerinci,2018,perempuan,26.91
Merangin,2018,perempuan,25.14
Sarolangun,2018,perempuan,24.18
Batang Hari,2018,perempuan,26.14
Muaro Jambi,2018,perempuan,30
Tanjung Jabung Timur,2018,perempuan,16.6
Tanjung Jabung Barat,2018,perempuan,23.01
Tebo,2018,perempuan,21.11
Bungo,2018,perempuan,25.74
Kota Jambi,2018,perempuan,57.37
Kota Sungai Penuh,2018,perempuan,51.8
SUMATERA SELATAN,2018,perempuan,29.1
Ogan Komering Ulu,2018,perempuan,35.61
Ogan Komering Ilir,2018,perempuan,15.98
Muara Enim,2018,perempuan,23.79
Lahat,2018,perempuan,33.2
Musi Rawas,2018,perempuan,17.32
Musi Banyuasin,2018,perempuan,19.99
Banyu Asin,2018,perempuan,18.39
Ogan Komering Ulu Selatan,2018,perempuan,20.97
Ogan Komering Ulu Timur,2018,perempuan,21.21
Ogan Ilir,2018,perempuan,21.69
Empat Lawang,2018,perempuan,18.72
Penukal Abab Lematang Ilir,2018,perempuan,15.52
